"movie_title","movie_detail","movie_num","movie_evaluate","link"
"飞越疯人院","
                            导演: 米洛斯·福尔曼 Milo<U+0161> Forman<U+00A0><U+00A0><U+00A0>主演: 杰克·尼科尔森 Jack Nichols...
                            1975<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情
                        ","9.0","265953人评价","https://movie.douban.com/subject/1292224/"
"窃听风暴","
                            导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck<U+00A0><U+00A0><U+00A0>...
                            2006<U+00A0>/<U+00A0>德国<U+00A0>/<U+00A0>剧情 悬疑
                        ","9.1","209921人评价","https://movie.douban.com/subject/1900841/"
"海豚湾","
                            导演: Louie Psihoyos<U+00A0><U+00A0><U+00A0>主演: John Chisholm / Mandy-Rae Cruikshank / Char...
                            2009<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>纪录片
                        ","9.3","175519人评价","https://movie.douban.com/subject/3442220/"
"闻香识女人","
                            导演: 马丁·布莱斯 Martin Brest<U+00A0><U+00A0><U+00A0>主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情
                        ","8.9","305458人评价","https://movie.douban.com/subject/1298624/"
"V字仇杀队","
                            导演: 詹姆斯·麦克特格 James McTeigue<U+00A0><U+00A0><U+00A0>主演: 娜塔丽·波曼 Natalie Portm...
                            2005<U+00A0>/<U+00A0>美国 英国 德国<U+00A0>/<U+00A0>剧情 动作 科幻 惊悚
                        ","8.8","391685人评价","https://movie.douban.com/subject/1309046/"
"美丽心灵","
                            导演: 朗·霍华德 Ron Howard<U+00A0><U+00A0><U+00A0>主演: 罗素·克劳 Russell Crowe / 詹妮弗·...
                            2001<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>传记 剧情
                        ","8.9","290853人评价","https://movie.douban.com/subject/1306029/"
"教父2","
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola<U+00A0><U+00A0><U+00A0>主演: 阿尔·帕西诺 A...
                            1974<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪
                        ","9.1","177046人评价","https://movie.douban.com/subject/1299131/"
"哈尔的移动城堡","
                            导演: 宫崎骏 Hayao Miyazaki<U+00A0><U+00A0><U+00A0>主演: 倍赏千惠子 Chieko Baish<U+00F4> / 木村拓...
                            2004<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>爱情 动画 奇幻 冒险
                        ","8.8","327846人评价","https://movie.douban.com/subject/1308807/"
"指环王2：双塔奇兵","
                            导演: 彼得·杰克逊 Peter Jackson<U+00A0><U+00A0><U+00A0>主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002<U+00A0>/<U+00A0>美国 新西兰<U+00A0>/<U+00A0>剧情 动作 奇幻 冒险
                        ","8.9","258510人评价","https://movie.douban.com/subject/1291572/"
"指环王1：魔戒再现","
                            导演: 彼得·杰克逊 Peter Jackson<U+00A0><U+00A0><U+00A0>主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001<U+00A0>/<U+00A0>新西兰 美国<U+00A0>/<U+00A0>剧情 动作 奇幻 冒险
                        ","8.9","288348人评价","https://movie.douban.com/subject/1291571/"
