"title" "link" "director" "star" "quote"
"35" "机器人总动员" "https://movie.douban.com/subject/2131459/" "
                            导演: 彼得·威尔 Peter Weir<U+00A0><U+00A0><U+00A0>主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...
                            1998<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 科幻
                        " "9.3" "小瓦力，大人生。"
"36" "海上钢琴师" "https://movie.douban.com/subject/1292001/" "
                                如果再也不能见到你，祝你早安，午安，晚安。
                            " "9.2" "每个人都要走一条自己坚定了的路，就算是粉身碎骨。 "
"37" "三傻大闹宝莱坞" "https://movie.douban.com/subject/3793023/" "
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor<U+00A0><U+00A0><U+00A0>主演: 托...
                            1939<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 爱情 战争
                        " "9.1" "英俊版憨豆，高情商版谢耳朵。"
"38" "忠犬八公的故事" "https://movie.douban.com/subject/3011091/" "
                                Tomorrow is another day.
                            " "9.2" "永远都不能忘记你所爱的人。"
"39" "放牛班的春天" "https://movie.douban.com/subject/1291549/" "
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore<U+00A0><U+00A0><U+00A0>主演: 安东娜拉·塔莉 Antonel...
                            1988<U+00A0>/<U+00A0>意大利 法国<U+00A0>/<U+00A0>剧情 爱情
                        " "9.2" "天籁一般的童声，是最接近上帝的存在。 "
"40" "大话西游之大圣娶亲" "https://movie.douban.com/subject/1292213/" "
                                那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
                            " "9.2" "一生所爱。"
"41" "教父" "https://movie.douban.com/subject/1291841/" "
                            导演: 加布里尔·穆奇诺 Gabriele Muccino<U+00A0><U+00A0><U+00A0>主演: 威尔·史密斯 Will Smith ...
                            2006<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 传记 家庭
                        " "9.2" "千万不要记恨你的对手，这样会让你失去理智。"
"42" "龙猫" "https://movie.douban.com/subject/1291560/" "
                                平民励志片。 
                            " "9.1" "人人心中都有个龙猫，童年就永远不会消失。"
