"movie_title" "movie_detail" "movie_num" "movie_evaluate" "link"
                            2009<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 喜剧 动画 奇幻 冒险
                        " "8.9" "478199人评价" "https://movie.douban.com/subject/2129039/"
"38" "活着" "
                            导演: 张艺谋 Yimou Zhang<U+00A0><U+00A0><U+00A0>主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
                            1994<U+00A0>/<U+00A0>中国大陆 香港<U+00A0>/<U+00A0>剧情 家庭
                        " "9.0" "248643人评价" "https://movie.douban.com/subject/1292365/"
"39" "飞越疯人院" "
                            导演: 米洛斯·福尔曼 Milo<U+0161> Forman<U+00A0><U+00A0><U+00A0>主演: 杰克·尼科尔森 Jack Nichols...
                            1975<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情
                        " "9.0" "265861人评价" "https://movie.douban.com/subject/1292224/"
"40" "窃听风暴" "
                            导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck<U+00A0><U+00A0><U+00A0>...
                            2006<U+00A0>/<U+00A0>德国<U+00A0>/<U+00A0>剧情 悬疑
                        " "9.1" "209832人评价" "https://movie.douban.com/subject/1900841/"
"41" "海豚湾" "
                            导演: Louie Psihoyos<U+00A0><U+00A0><U+00A0>主演: John Chisholm / Mandy-Rae Cruikshank / Char...
                            2009<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>纪录片
                        " "9.3" "175470人评价" "https://movie.douban.com/subject/3442220/"
"42" "闻香识女人" "
                            导演: 马丁·布莱斯 Martin Brest<U+00A0><U+00A0><U+00A0>主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情
                        " "8.9" "305362人评价" "https://movie.douban.com/subject/1298624/"
"43" "V字仇杀队" "
                            导演: 詹姆斯·麦克特格 James McTeigue<U+00A0><U+00A0><U+00A0>主演: 娜塔丽·波曼 Natalie Portm...
                            2005<U+00A0>/<U+00A0>美国 英国 德国<U+00A0>/<U+00A0>剧情 动作 科幻 惊悚
                        " "8.8" "391573人评价" "https://movie.douban.com/subject/1309046/"
"44" "美丽心灵" "
                            导演: 朗·霍华德 Ron Howard<U+00A0><U+00A0><U+00A0>主演: 罗素·克劳 Russell Crowe / 詹妮弗·...
                            2001<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>传记 剧情
                        " "8.9" "290776人评价" "https://movie.douban.com/subject/1306029/"
"45" "教父2" "
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola<U+00A0><U+00A0><U+00A0>主演: 阿尔·帕西诺 A...
                            1974<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪
                        " "9.1" "176990人评价" "https://movie.douban.com/subject/1299131/"
