"","电影名","链接","导演","主演","发行年份","发行国家","影片类型","影片评分","评价人数"
"82","大闹天宫","https://movie.douban.com/subject/1418019/","导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...","主演:邱岳峰YuefengQiu/...","1961(上集)/1964(下集)/1978(全本)/2004(纪念版)","中国大陆","动画奇幻","9.2","89948人评价"
"83","射雕英雄传之东成西就","https://movie.douban.com/subject/1316510/","导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...","主演:梁朝伟TonyLeungChiuWai/林青霞Bri...","1993","香港","喜剧古装","8.7","258235人评价"
"84","重庆森林","https://movie.douban.com/subject/1291999/","导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...","主演:林青霞BrigitteLin/金城武TakeshiK...","1994","香港","剧情爱情","8.6","303359人评价"
"85","阳光姐妹淘","https://movie.douban.com/subject/4917726/","导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...","主演:沈恩京un-kyungShim/闵孝琳Hy...","2011","韩国","剧情喜剧","8.8","251187人评价"
"86","上帝之城","https://movie.douban.com/subject/1292208/","导演:KátiaLund/FernandoMeirelles   主演:AlexandreRodrigues/Lea...","主演:AlexandreRodrigues/Lea...","2002","巴西法国","犯罪剧情","8.9","149580人评价"
"87","甜蜜蜜","https://movie.douban.com/subject/1305164/","导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...","主演:黎明LeonLai/张曼玉MaggieCheung/...","1996","香港","剧情爱情","8.7","218618人评价"
"88","禁闭岛","https://movie.douban.com/subject/2334904/","导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...","主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...","2010","美国","剧情悬疑惊悚","8.6","333003人评价"
"89","致命ID","https://movie.douban.com/subject/1297192/","导演:JamesMangold   主演:JohnCusack/RayLiotta/AmandaPeet","主演:JohnCusack/RayLiotta/AmandaPeet","2003","美国","剧情悬疑惊悚","8.6","294765人评价"
"90","告白","https://movie.douban.com/subject/4268598/","导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...","主演:松隆子TakakoMatsu/冈田将生...","2010","日本","剧情惊悚","8.6","318058人评价"
"91","一一","https://movie.douban.com/subject/1292434/","导演:杨德昌   主演:吴念真/李凯莉KellyLee/金燕玲ElaineJin","主演:吴念真/李凯莉KellyLee/金燕玲laineJin","2000","台湾日本","剧情爱情家庭","8.9","143348人评价"
"92","加勒比海盗","https://movie.douban.com/subject/1298070/","导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...","主演:约翰尼·德普JohnnyDepp/...","2003","美国","动作冒险奇幻","8.6","311640人评价"
"93","爱在黎明破晓前","https://movie.douban.com/subject/1296339/","导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...","主演:伊桑·霍克thanHawke...","1995","美国奥地利瑞士","剧情爱情","8.7","203347人评价"
"94","狩猎","https://movie.douban.com/subject/6985810/","导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...","主演:麦斯·米科尔森MadsMik...","2012","丹麦瑞典","剧情","9.0","111845人评价"
"95","布达佩斯大饭店","https://movie.douban.com/subject/11525673/","导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...","主演:拉尔夫·费因斯RalphFiennes/...","2014","美国德国英国","剧情喜剧","8.7","282097人评价"
"96","阿凡达","https://movie.douban.com/subject/1652587/","导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...","主演:萨姆·沃辛顿SamWorthington...","2009","美国英国","动作冒险奇幻科幻","8.6","499166人评价"
"97","断背山","https://movie.douban.com/subject/1418834/","导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...","主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...","2005","美国加拿大","剧情爱情同性家庭","8.6","298056人评价"
"98","风之谷","https://movie.douban.com/subject/1291585/","导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/京田尚子H...","主演:岛本须美SumiShimamoto/京田尚子H...","1984","日本","科幻动画奇幻冒险","8.8","164499人评价"
"99","萤火虫之墓","https://movie.douban.com/subject/1293318/","导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子","主演:辰己努/白石绫乃/志乃原良子","1988","日本","动画剧情战争","8.7","191035人评价"
"100","摩登时代","https://movie.douban.com/subject/1294371/","导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...","主演:查理·卓别林CharlesChaplin...","1936","美国","喜剧剧情爱情","9.2","79763人评价"
"101","爱在日落黄昏时","https://movie.douban.com/subject/1291990/","导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...","主演:伊桑·霍克thanHawke...","2004","美国","剧情爱情","8.7","185662人评价"
"102","猫鼠游戏","https://movie.douban.com/subject/1305487/","导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...","主演:莱昂纳多·迪卡普里奥L...","2002","美国加拿大","传记犯罪剧情","8.7","201196人评价"
"103","侧耳倾听","https://movie.douban.com/subject/1297052/","导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...","主演:本名阳子YoukoHonna/小林桂树K...","1995","日本","剧情爱情动画音乐","8.8","154873人评价"
"104","末代皇帝","https://movie.douban.com/subject/1293172/","导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...","主演:尊龙JohnLone/陈...","1987","意大利中国大陆英国法国","剧情传记历史","8.8","146902人评价"
"105","驯龙高手","https://movie.douban.com/subject/2353023/","导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...","主演:...","2010","美国","喜剧动画奇幻冒险家庭","8.7","266149人评价"
"106","哈利·波特与魔法石","https://movie.douban.com/subject/1295038/","导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint","主演:DanielRadcliffe/mmaWatson/RupertGrint","2001","美国英国","奇幻冒险","8.6","228294人评价"
"107","超脱","https://movie.douban.com/subject/5322596/","导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/克里...","主演:艾德里安·布洛迪AdrienBrody/克里...","2011","美国","剧情","8.7","159002人评价"
"108","疯狂动物城","https://movie.douban.com/subject/25662329/","导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·...","主演:金妮弗·...","2016","美国","喜剧动作动画冒险","9.2","453303人评价"
"109","海洋","https://movie.douban.com/subject/3443389/","导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...","主演:...","2009","法国瑞士西班牙美国阿联酋","纪录片","9.0","94740人评价"
"110","幸福终点站","https://movie.douban.com/subject/1292274/","导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...","主演:汤姆·汉克斯TomHanks...","2004","美国","喜剧剧情爱情","8.6","212943人评价"
"111","穿条纹睡衣的男孩","https://movie.douban.com/subject/3008247/","导演:马克·赫门MarkHerman   主演:阿沙·巴特菲尔德AsaButterfield/...","主演:阿沙·巴特菲尔德AsaButterfield/...","2008","英国美国","剧情战争","8.8","126540人评价"
