"","电影名","链接","导演","主演","发行年份","发行国家","影片类型","影片评分","评价人数"
"224","暖暖内含光","https://movie.douban.com/subject/1308777/","导演:米歇尔·冈瑞MichelGondry   主演:金·凯瑞JimCarrey/凯特·温...","主演:金·凯瑞JimCarrey/凯特·温...","2004","美国","剧情爱情奇幻","8.4","133207人评价"
"225","蝴蝶","https://movie.douban.com/subject/1292056/","导演:菲利普·穆伊尔PhilippeMuyl   主演:米歇尔·塞罗MichelSerrault...","主演:米歇尔·塞罗MichelSerrault...","2002","法国","剧情儿童喜剧","8.6","89989人评价"
"226","大卫·戈尔的一生","https://movie.douban.com/subject/1305725/","导演:AlanParker   主演:凯文·史派西KevinSpacey/凯特·温丝莱特Kat...","主演:凯文·史派西KevinSpacey/凯特·温丝莱特Kat...","2003","美国德国英国","剧情犯罪悬疑","8.7","78292人评价"
"227","与狼共舞","https://movie.douban.com/subject/1293764/","导演:KevinCostner   主演:KevinCostner/MaryMcDonnell/GrahamGreene","主演:KevinCostner/MaryMcDonnell/GrahamGreene","1990","美国","冒险剧情西部","8.9","52505人评价"
"228","血钻","https://movie.douban.com/subject/1428175/","导演:EdwardZwick   主演:LeonardoDiCaprio/JenniferConnelly/Djimo...","主演:LeonardoDiCaprio/JenniferConnelly/Djimo...","2006","美国德国","剧情惊悚冒险","8.5","116783人评价"
"229","模仿游戏","https://movie.douban.com/subject/10463953/","导演:莫腾·泰杜姆MortenTyldum   主演:本尼迪克特·康伯巴奇BenedictC...","主演:本尼迪克特·康伯巴奇BenedictC...","2014","英国美国","剧情传记战争同性","8.5","227634人评价"
"230","国王的演讲","https://movie.douban.com/subject/4023638/","导演:汤姆·霍珀TomHooper   主演:柯林·菲尔斯ColinFirth/杰弗里·...","主演:柯林·菲尔斯ColinFirth/杰弗里·...","2010","英国澳大利亚美国","剧情传记历史","8.3","310885人评价"
"231","遗愿清单","https://movie.douban.com/subject/1867345/","导演:罗伯·莱纳RobReiner   主演:杰克·尼科尔森JackNicholson/摩根...","主演:杰克·尼科尔森JackNicholson/摩根...","2007","美国","冒险喜剧剧情","8.5","113649人评价"
"232","巴黎淘气帮","https://movie.douban.com/subject/3157605/","导演:LaurentTirard   主演:马克西姆·戈达尔MaximeGodart/瓦莱丽·勒...","主演:马克西姆·戈达尔MaximeGodart/瓦莱丽·勒...","2009","法国比利时","儿童喜剧家庭","8.6","98515人评价"
"233","偷拐抢骗","https://movie.douban.com/subject/1301171/","导演:盖·里奇GuyRitchie   主演:布拉德·皮特BradPitt/本尼西奥·德...","主演:布拉德·皮特BradPitt/本尼西奥·德...","2000","英国美国","喜剧犯罪","8.5","106753人评价"
"234","荒岛余生","https://movie.douban.com/subject/1298653/","导演:罗伯特·泽米吉斯RobertZemeckis   主演:汤姆·汉克斯TomHanks/...","主演:汤姆·汉克斯TomHanks/...","2000","美国","冒险剧情","8.4","120198人评价"
"235","夜访吸血鬼","https://movie.douban.com/subject/1299327/","导演:尼尔·乔丹NeilJordan   主演:布拉德·皮特BradPitt/汤姆·克鲁...","主演:布拉德·皮特BradPitt/汤姆·克鲁...","1994","美国","剧情奇幻惊悚","8.3","183409人评价"
"236","疯狂的石头","https://movie.douban.com/subject/1862151/","导演:宁浩HaoNing   主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin","主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin","2006","中国大陆香港","喜剧犯罪","8.2","279985人评价"
"237","枪火","https://movie.douban.com/subject/1300741/","导演:杜琪峰JohnnieTo   主演:吴镇宇FrancisNg/任达华SimonYam/...","主演:吴镇宇FrancisNg/任达华SimonYam/...","1999","香港","剧情动作犯罪","8.6","88175人评价"
"238","千钧一发","https://movie.douban.com/subject/1300117/","导演:安德鲁·尼科尔AndrewNiccol   主演:伊桑·霍克EthanHawke/乌玛...","主演:伊桑·霍克thanHawke/乌玛...","1997","美国","剧情科幻","8.7","74153人评价"
"239","中央车站","https://movie.douban.com/subject/1292218/","导演:WalterSalles   主演:FernandaMontenegro/MaríliaPêra/Viní...","主演:FernandaMontenegro/MaríliaPêra/Viní...","1998","巴西法国","剧情","8.7","71460人评价"
"240","爱在暹罗","https://movie.douban.com/subject/2365260/","导演:楚克<U+2027>萨克瑞科ChukiatSakveerakul   主演:维特维斯特·海伦亚沃...","主演:维特维斯特·海伦亚沃...","2007","泰国","剧情爱情同性家庭","8.3","207549人评价"
"241","爱在午夜降临前","https://movie.douban.com/subject/10808442/","导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...","主演:伊桑·霍克thanHawke...","2013","美国","剧情爱情","8.7","102134人评价"
"242","月球","https://movie.douban.com/subject/3073124/","导演:邓肯·琼斯DuncanJones   主演:山姆·洛克威尔SamRockwell/凯文...","主演:山姆·洛克威尔SamRockwell/凯文...","2009","英国","剧情科幻悬疑","8.5","129909人评价"
"243","寿司之神","https://movie.douban.com/subject/6146955/","导演:大卫·贾柏DavidGelb   主演:小野二郎JiroOno/小野祯一Yoshik...","主演:小野二郎JiroOno/小野祯一Yoshik...","2011","美国","纪录片","8.8","73673人评价"
"244","我爱你","https://movie.douban.com/subject/5908478/","导演:秋昌民Chang-minChoo   主演:宋在河Jae-hoSong/李顺载Soon-jae...","主演:宋在河Jae-hoSong/李顺载Soon-jae...","2011","韩国","剧情爱情","9.0","49508人评价"
"245","两小无猜","https://movie.douban.com/subject/1308817/","导演:杨·塞谬尔YannSamuell   主演:吉约姆·卡内GuillaumeCanet/玛...","主演:吉约姆·卡内GuillaumeCanet/玛...","2003","法国比利时","喜剧剧情爱情","8.1","299544人评价"
"246","罪恶之城","https://movie.douban.com/subject/1309027/","导演:弗兰克·米勒FrankMiller/罗伯特·罗德里格兹RobertRodriguez   ...","...","2005","美国","动作犯罪惊悚","8.4","131217人评价"
"247","廊桥遗梦","https://movie.douban.com/subject/1293929/","导演:克林特·伊斯特伍德ClintEastwood   主演:克林特·伊斯特伍德Clint...","主演:克林特·伊斯特伍德Clint...","1995","美国","剧情爱情","8.5","88976人评价"
"248","假如爱有天意","https://movie.douban.com/subject/1304073/","导演:郭在容Jae-youngKwak   主演:孙艺珍Ye-jinSon/曹承佑Seung-woo...","主演:孙艺珍Ye-jinSon/曹承佑Seung-woo...","2003","韩国","剧情爱情","8.2","213102人评价"
"249","黑鹰坠落","https://movie.douban.com/subject/1291824/","导演:雷德利·斯科特RidleyScott   主演:乔什·哈奈特JoshHartnett/...","主演:乔什·哈奈特JoshHartnett/...","2001","美国","动作历史战争","8.5","99347人评价"
"250","角斗士","https://movie.douban.com/subject/1293530/","导演:RidleyScott   主演:RussellCrowe/JoaquinPhoenix/ConnieNielsen","主演:RussellCrowe/JoaquinPhoenix/ConnieNielsen","2000","英国美国","剧情动作历史冒险","8.4","119677人评价"
