"英雄","比赛","胜率","KDA","杀","死","助","正反补","反补总数","金钱/分钟","经验/分钟","Pick次数","Pick率","Pick胜率","平均Pick序位","Ban次数","Ban率","Ban胜率","平均Ban序位"
"娜迦海妖",9,0.6667,6.81,5.11,3,15.33,618.67,9.22,752.56,502.11,9,0.0201,0.6667,3.1,42,0.0938,0.4524,2.6
"帕格纳",1,0,1.33,5,12,11,136,4,320,377,1,0.0022,0,5,3,0.0067,1,4.3
"帕吉",7,0.7143,2.82,3.86,6.29,13.86,56.43,1,299.57,390.43,7,0.0156,0.7143,3.9,2,0.0045,0,3.5
"帕克",16,0.5,4.83,6.38,4.13,13.56,308.81,11.81,549.88,572.25,16,0.0357,0.5,4,16,0.0357,0.625,3.8
"齐天大圣",43,0.3953,2.37,3.93,7.3,13.37,67.74,2.02,285.95,360.42,43,0.096,0.3953,1.3,45,0.1004,0.6222,1.6
"祈求者",26,0.4615,3.87,8.23,4.73,10.08,390.04,15.77,646.69,633.73,26,0.058,0.4615,3.3,29,0.0647,0.3793,3.8
"全能骑士",18,0.4444,3.57,2.61,3.89,11.28,173.44,11.72,443.11,473.33,18,0.0402,0.4444,2.4,14,0.0313,0.5,2.6
"沙王",19,0.4737,2.53,2.47,6.32,13.53,165.05,2.21,366.37,438.63,19,0.0424,0.4737,3.3,5,0.0112,0.6,4.2
"赏金猎人",10,0.4,2.98,2.2,6,15.7,27.1,1.2,288.6,342.2,10,0.0223,0.4,3,4,0.0089,0,3.5
"上古巨神",3,0.6667,3.79,1.33,4.67,16.33,48,0.33,266,324.33,3,0.0067,0.6667,3.7,0,0,0,0
"神谕者",1,0,3.83,7,6,16,74,3,342,368,1,0.0022,0,3,0,0,0,0
"圣堂刺客",20,0.75,5.67,10.85,3.45,8.7,334.25,16.75,686.8,696.4,20,0.0446,0.75,4.4,29,0.0647,0.2414,4.2
"食人魔魔法师",10,0.6,2.75,1.3,4.8,11.9,27.5,2,250.1,308.8,10,0.0223,0.6,3.1,3,0.0067,0.3333,2.3
"嗜血狂魔",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0045,1,5
"噬魂鬼",15,0.4,4.87,7.33,3.67,10.53,294.27,15.13,554.8,578.27,15,0.0335,0.4,3.5,24,0.0536,0.4167,3
"兽王",10,0.4,1.72,2.5,6.5,8.7,178,1.9,371.4,416.6,10,0.0223,0.4,2.1,7,0.0156,1,2.7
"术士",42,0.5,3.15,2.9,5.36,13.98,62.38,2.71,278.38,340.55,42,0.0938,0.5,2.1,28,0.0625,0.4643,2.5
"树精卫士",36,0.5,2.48,1.22,5.25,11.78,46.47,0.92,258.72,326.11,36,0.0804,0.5,1.3,52,0.1161,0.5577,1.6
"水晶室女",54,0.5926,2.39,2.46,6.43,12.91,77.76,0.65,284.24,331.44,54,0.1205,0.5926,1.9,31,0.0692,0.4516,2.7
"司夜刺客",17,0.5882,2.86,2.65,5.82,14,78.35,3.82,334.18,415.24,17,0.0379,0.5882,1.8,29,0.0647,0.5172,2.5
"斯拉达",10,0.7,3.46,1.2,5,16.1,70.7,3.6,296.9,401.3,10,0.0223,0.7,2.2,7,0.0156,0.1429,3.6
"斯拉克",18,0.7778,6.77,9.72,2.94,10.22,326.78,14.39,600.78,652,18,0.0402,0.7778,4.2,25,0.0558,0.68,4
