movie_title,movie_quote,movie_score,movie_evaluate,link
大鱼,"
                                抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
                            ",8.7,235986人评价,https://movie.douban.com/subject/1291545/
大闹天宫,"
                                经典之作，历久弥新。
                            ",9.2,89982人评价,https://movie.douban.com/subject/1418019/
射雕英雄传之东成西就,"
                                百看不厌。 
                            ",8.7,258318人评价,https://movie.douban.com/subject/1316510/
重庆森林,"
                                寂寞没有期限。
                            ",8.6,303508人评价,https://movie.douban.com/subject/1291999/
阳光姐妹淘,"
                                再多各自牛逼的时光，也比不上一起傻逼的岁月。 
                            ",8.8,251267人评价,https://movie.douban.com/subject/4917726/
上帝之城,"
                                被上帝抛弃了的上帝之城。
                            ",8.9,149656人评价,https://movie.douban.com/subject/1292208/
甜蜜蜜,"
                                相逢只要一瞬间，等待却像是一辈子。
                            ",8.7,218706人评价,https://movie.douban.com/subject/1305164/
禁闭岛,"
                                昔日翩翩少年，今日大腹便便。
                            ",8.6,333097人评价,https://movie.douban.com/subject/2334904/
致命ID,"
                                最不可能的那个人永远是最可能的。
                            ",8.6,294885人评价,https://movie.douban.com/subject/1297192/
告白,"
                                没有一人完全善，也没有一人完全恶。
                            ",8.6,318169人评价,https://movie.douban.com/subject/4268598/
一一,"
                                我们都曾经是一一。
                            ",8.9,143398人评价,https://movie.douban.com/subject/1292434/
加勒比海盗,"
                                约翰尼·德普的独角戏。
                            ",8.6,311796人评价,https://movie.douban.com/subject/1298070/
爱在黎明破晓前,"
                                缘分是个连绵词，最美不过一瞬。
                            ",8.7,203445人评价,https://movie.douban.com/subject/1296339/
狩猎,"
                                人言可畏。
                            ",9,111905人评价,https://movie.douban.com/subject/6985810/
布达佩斯大饭店,"
                                小清新的故事里注入了大历史的情怀。
                            ",8.7,282195人评价,https://movie.douban.com/subject/11525673/
阿凡达,"
                                绝对意义上的美轮美奂。
                            ",8.6,499281人评价,https://movie.douban.com/subject/1652587/
断背山,"
                                每个人心中都有一座断背山。
                            ",8.6,298125人评价,https://movie.douban.com/subject/1418834/
风之谷,"
                                动画片的圣经。
                            ",8.8,164532人评价,https://movie.douban.com/subject/1291585/
萤火虫之墓,"
                                幸福是生生不息，却难以触及的远。 
                            ",8.7,191086人评价,https://movie.douban.com/subject/1293318/
摩登时代,"
                                大时代中的人生，小人物的悲喜。
                            ",9.2,79797人评价,https://movie.douban.com/subject/1294371/
