"movie_title" "movie_detail" "movie_num" "movie_evaluate" "link"
                            2001 / 法国 德国 / 喜剧 爱情
                        " "8.7" "461275人评价" "https://movie.douban.com/subject/1292215/"
"50" "情书" "
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
                            1995 / 日本 / 剧情 爱情
                        " "8.8" "353896人评价" "https://movie.douban.com/subject/1292220/"
"51" "死亡诗社" "
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989 / 美国 / 剧情
                        " "8.9" "260626人评价" "https://movie.douban.com/subject/1291548/"
"52" "美国往事" "
                            导演: Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro / 詹姆斯·伍兹 ...
                            1984 / 意大利 美国 / 犯罪 剧情
                        " "9.1" "165030人评价" "https://movie.douban.com/subject/1292262/"
"53" "七宗罪" "
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...
                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚
                        " "8.7" "415498人评价" "https://movie.douban.com/subject/1292223/"
"54" "钢琴家" "
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
                            2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争
                        " "9.0" "192627人评价" "https://movie.douban.com/subject/1296736/"
"55" "狮子王" "
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
                            1994 / 美国 / 剧情 动画 冒险 歌舞 家庭
                        " "8.9" "266904人评价" "https://movie.douban.com/subject/1301753/"
"56" "被嫌弃的松子的一生" "
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...
                            2006 / 日本 / 剧情 歌舞
                        " "8.9" "259757人评价" "https://movie.douban.com/subject/1787291/"
"57" "致命魔术" "
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2006 / 美国 英国 / 剧情 悬疑 惊悚
                        " "8.8" "320780人评价" "https://movie.douban.com/subject/1780330/"
"58" "辩护人" "
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...
                            2013 / 韩国 / 剧情
                        " "9.1" "183400人评价" "https://movie.douban.com/subject/21937445/"
"59" "勇敢的心" "
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...
                            1995 / 美国 / 动作 传记 剧情 历史 战争
                        " "8.8" "283607人评价" "https://movie.douban.com/subject/1294639/"
"60" "控方证人" "
                            导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / ...
                            1957 / 美国 / 剧情 犯罪 悬疑
                        " "9.6" "73063人评价" "https://movie.douban.com/subject/1296141/"
"61" "剪刀手爱德华" "
                            导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...
                            1990 / 美国 / 剧情 奇幻 爱情
                        " "8.7" "459966人评价" "https://movie.douban.com/subject/1292370/"
"62" "小鞋子" "
                            导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...
                            1999 / 伊朗 / 剧情 家庭 儿童
                        " "9.2" "127139人评价" "https://movie.douban.com/subject/1303021/"
"63" "饮食男女" "
                            导演: 李安 Ang Lee   主演: 吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /...
                            1994 / 台湾 美国 / 剧情 家庭
                        " "9.0" "176351人评价" "https://movie.douban.com/subject/1291818/"
"64" "音乐之声" "
                            导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...
                            1965 / 美国 / 剧情 爱情 歌舞 家庭 传记
                        " "8.9" "220407人评价" "https://movie.douban.com/subject/1294408/"
"65" "低俗小说" "
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...
                            1994 / 美国 / 剧情 喜剧 犯罪
                        " "8.7" "312709人评价" "https://movie.douban.com/subject/1291832/"
"66" "入殓师" "
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...
                            2008 / 日本 / 剧情
                        " "8.8" "304510人评价" "https://movie.douban.com/subject/2149806/"
"67" "本杰明·巴顿奇事" "
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...
                            2008 / 美国 / 剧情 爱情 奇幻
                        " "8.7" "373027人评价" "https://movie.douban.com/subject/1485260/"
"68" "沉默的羔羊" "
                            导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...
                            1991 / 美国 / 剧情 犯罪 惊悚
                        " "8.7" "331221人评价" "https://movie.douban.com/subject/1293544/"
"69" "蝴蝶效应" "
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
                        " "8.7" "360588人评价" "https://movie.douban.com/subject/1292343/"
"70" "黑客帝国" "
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
                            1999 / 美国 澳大利亚 / 动作 科幻
                        " "8.8" "262683人评价" "https://movie.douban.com/subject/1291843/"
"71" "拯救大兵瑞恩" "
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
                            1998 / 美国 / 剧情 历史 战争
                        " "8.8" "220858人评价" "https://movie.douban.com/subject/1292849/"
"72" "玛丽和马克思" "
                            导演: Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利普·塞默·霍...
                            2009 / 澳大利亚 / 剧情 爱情 动画
                        " "8.9" "223812人评价" "https://movie.douban.com/subject/3072124/"
"73" "西西里的美丽传说" "
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...
                            2000 / 意大利 美国 / 剧情 战争 情色
                        " "8.7" "320774人评价" "https://movie.douban.com/subject/1292402/"
"74" "素媛" "
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013 / 韩国 / 剧情 家庭
                        " "9.1" "158562人评价" "https://movie.douban.com/subject/21937452/"
"75" "心灵捕手" "
                            导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...
                            1997 / 美国 / 剧情
                        " "8.7" "252186人评价" "https://movie.douban.com/subject/1292656/"
"76" "幽灵公主" "
                            导演: 宫崎骏   主演: 松田洋治 / 石田百合子 / 田中裕子
                            1997 / 日本 / 动画 冒险 奇幻
                        " "8.8" "220388人评价" "https://movie.douban.com/subject/1297359/"
"77" "第六感" "
                            导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...
                            1999 / 美国 / 剧情 悬疑 恐怖
                        " "8.8" "218887人评价" "https://movie.douban.com/subject/1297630/"
"78" "阳光灿烂的日子" "
                            导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
                            1994 / 中国大陆 香港 / 剧情
                        " "8.7" "253509人评价" "https://movie.douban.com/subject/1291875/"
"79" "让子弹飞" "
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
                            2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部
                        " "8.7" "590210人评价" "https://movie.douban.com/subject/3742360/"
"80" "春光乍泄" "
                            导演: 王家卫   主演: 张国荣 / 梁朝伟 / 张震
                            1997 / 香港 日本 韩国 / 剧情 爱情 同性
                        " "8.8" "225541人评价" "https://movie.douban.com/subject/1292679/"
"81" "大鱼" "
                            导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...
                            2003 / 美国 / 剧情 家庭 奇幻 冒险
                        " "8.7" "235914人评价" "https://movie.douban.com/subject/1291545/"
"82" "大闹天宫" "
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...
                            1961 / 1964 / 1978 / 2004 / 中国大陆 / 动画 奇幻
                        " "9.2" "89972人评价" "https://movie.douban.com/subject/1418019/"
"83" "射雕英雄传之东成西就" "
                            导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...
                            1993 / 香港 / 喜剧 古装
                        " "8.7" "258235人评价" "https://movie.douban.com/subject/1316510/"
"84" "重庆森林" "
                            导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...
                            1994 / 香港 / 剧情 爱情
                        " "8.6" "303414人评价" "https://movie.douban.com/subject/1291999/"
"85" "阳光姐妹淘" "
                            导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...
                            2011 / 韩国 / 剧情 喜剧
                        " "8.8" "251187人评价" "https://movie.douban.com/subject/4917726/"
"86" "上帝之城" "
