"link","movie_title","kind","review_score","review_num"
"https://movie.douban.com/subject/1397546/","追随","犯罪 悬疑 惊悚","9.0","72163"
"https://movie.douban.com/subject/1300960/","碧海蓝天","剧情 爱情","8.7","102842"
"https://movie.douban.com/subject/5964718/","一次别离","剧情 家庭","8.7","121504"
"https://movie.douban.com/subject/2043546/","秒速5厘米","动画 剧情 爱情","8.4","267946"
"https://movie.douban.com/subject/1291879/","罗生门","犯罪 剧情 悬疑","8.7","111534"
"https://movie.douban.com/subject/1292270/","梦之安魂曲","剧情","8.7","101819"
"https://movie.douban.com/subject/1419936/","战争之王","剧情 犯罪","8.5","161653"
"https://movie.douban.com/subject/1308857/","可可西里","剧情 犯罪","8.6","118757"
"https://movie.douban.com/subject/25917973/","心迷宫","剧情 犯罪 悬疑","8.6","137023"
"https://movie.douban.com/subject/1306249/","唐伯虎点秋香","喜剧 爱情 古装","8.3","286877"
"https://movie.douban.com/subject/11026735/","超能陆战队","喜剧 动作 科幻 动画 冒险","8.6","334109"
"https://movie.douban.com/subject/10577869/","时空恋旅人","剧情 爱情 奇幻","8.6","174534"
"https://movie.douban.com/subject/3007773/","海盗电台","剧情 喜剧 音乐","8.6","156951"
"https://movie.douban.com/subject/1308767/","谍影重重2","动作 悬疑 冒险","8.5","146403"
"https://movie.douban.com/subject/1304102/","谍影重重","动作 悬疑 冒险","8.5","176969"
"https://movie.douban.com/subject/3395373/","蝙蝠侠：黑暗骑士崛起","剧情 动作 科幻 犯罪 惊悚","8.5","270388"
"https://movie.douban.com/subject/1305690/","阿飞正传","犯罪 剧情 爱情","8.5","161979"
"https://movie.douban.com/subject/24750126/","荒蛮故事","剧情 喜剧 犯罪","8.7","112627"
"https://movie.douban.com/subject/2363506/","地球上的星星","剧情 儿童 家庭","8.8","72038"
"https://movie.douban.com/subject/1292281/","迁徙的鸟","纪录片","9.1","49059"
"https://movie.douban.com/subject/25814707/","小森林 冬春篇","剧情","8.9","94707"
"https://movie.douban.com/subject/1905462/","荒野生存","冒险 传记 剧情","8.6","117871"
"https://movie.douban.com/subject/3011051/","恐怖游轮","剧情 悬疑 惊悚","8.3","282939"
"https://movie.douban.com/subject/1292728/","勇闯夺命岛","动作 冒险","8.5","131453"
"https://movie.douban.com/subject/1300374/","绿里奇迹","犯罪 剧情 奇幻 悬疑","8.7","97326"
"https://movie.douban.com/subject/1293181/","惊魂记","悬疑 恐怖","8.8","73845"
"https://movie.douban.com/subject/1793929/","达拉斯买家俱乐部","剧情 传记 同性","8.6","151975"
"https://movie.douban.com/subject/1307811/","魔女宅急便","动画 奇幻 冒险","8.4","175394"
"https://movie.douban.com/subject/6874403/","再次出发之纽约遇见你","喜剧 爱情 音乐","8.5","147890"
"https://movie.douban.com/subject/1296753/","卡萨布兰卡","剧情 爱情 战争","8.6","114529"
"https://movie.douban.com/subject/1307793/","燕尾蝶","犯罪 剧情","8.6","101991"
"https://movie.douban.com/subject/25773932/","爆裂鼓手","剧情 音乐","8.6","210683"
"https://movie.douban.com/subject/1395091/","未麻的部屋","动画 奇幻 惊悚","8.8","80560"
"https://movie.douban.com/subject/1291568/","东京物语","剧情 家庭","9.2","44963"
"https://movie.douban.com/subject/2300586/","这个男人来自地球","剧情 科幻","8.5","159852"
"https://movie.douban.com/subject/1292329/","牯岭街少年杀人事件","剧情 犯罪","8.7","93271"
"https://movie.douban.com/subject/1291853/","英国病人","爱情 剧情 战争","8.4","163534"
"https://movie.douban.com/subject/1292659/","变脸","动作 科幻 犯罪","8.4","198220"
"https://movie.douban.com/subject/6307447/","被解救的姜戈","剧情 动作 西部 冒险","8.5","239352"
"https://movie.douban.com/subject/1291844/","终结者2：审判日","动作 科幻","8.5","129343"
"https://movie.douban.com/subject/1291992/","末路狂花","犯罪 剧情 惊悚","8.7","93939"
"https://movie.douban.com/subject/1294638/","E.T. 外星人","剧情 科幻 奇幻 冒险","8.5","139744"
"https://movie.douban.com/subject/4798888/","叫我第一名","剧情 传记","8.6","100202"
"https://movie.douban.com/subject/1959195/","忠犬八公物语","剧情","9.0","49301"
"https://movie.douban.com/subject/1307315/","哪吒闹海","冒险 动画 奇幻","8.8","71457"
"https://movie.douban.com/subject/1292233/","发条橙","犯罪 剧情 科幻","8.4","171467"
"https://movie.douban.com/subject/1303394/","青蛇","剧情 奇幻 古装","8.4","197820"
"https://movie.douban.com/subject/1292217/","穆赫兰道","剧情 悬疑 惊悚","8.3","213788"
"https://movie.douban.com/subject/3075287/","源代码","剧情 动作 科幻 犯罪 惊悚","8.3","376992"
"https://movie.douban.com/subject/1302467/","黑客帝国3：矩阵革命","动作 科幻","8.5","140269"
"https://movie.douban.com/subject/1292287/","新龙门客栈","剧情 动作 武侠 古装","8.4","166121"
"https://movie.douban.com/subject/1401118/","黄金三镖客","冒险 西部","9.1","45849"
"https://movie.douban.com/subject/1292214/","非常嫌疑犯","剧情 犯罪 悬疑 惊悚","8.6","105483"
"https://movie.douban.com/subject/1292062/","美国丽人","剧情 家庭","8.4","169353"
"https://movie.douban.com/subject/1297478/","上帝也疯狂","喜剧","8.6","88471"
"https://movie.douban.com/subject/1293908/","城市之光","喜剧 剧情 爱情","9.2","38031"
"https://movie.douban.com/subject/1438652/","无耻混蛋","剧情 犯罪","8.4","204954"
"https://movie.douban.com/subject/4739952/","初恋这件小事","喜剧 爱情","8.2","419366"
"https://movie.douban.com/subject/3217169/","勇士","剧情 运动 家庭","8.9","80175"
