title	score	score_num	pic	link
勇敢的心	8.8	283405人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1374546770.jpg	https://movie.douban.com/subject/1294639/
控方证人	9.6	72785人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1505392928.jpg	https://movie.douban.com/subject/1296141/
剪刀手爱德华	8.7	459596人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p480956937.jpg	https://movie.douban.com/subject/1292370/
小鞋子	9.2	126981人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173580603.jpg	https://movie.douban.com/subject/1303021/
饮食男女	9.0	175977人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910899751.jpg	https://movie.douban.com/subject/1291818/
音乐之声	8.9	220201人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453788577.jpg	https://movie.douban.com/subject/1294408/
低俗小说	8.7	312342人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910902213.jpg	https://movie.douban.com/subject/1291832/
入殓师	8.8	304294人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p594972928.jpg	https://movie.douban.com/subject/2149806/
本杰明·巴顿奇事	8.7	372692人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p475749652.jpg	https://movie.douban.com/subject/1485260/
沉默的羔羊	8.7	330889人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1593414327.jpg	https://movie.douban.com/subject/1293544/
蝴蝶效应	8.7	360303人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1783650111.jpg	https://movie.douban.com/subject/1292343/
黑客帝国	8.8	262432人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910908765.jpg	https://movie.douban.com/subject/1291843/
拯救大兵瑞恩	8.8	220571人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1014542496.jpg	https://movie.douban.com/subject/1292849/
玛丽和马克思	8.9	223668人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1820615077.jpg	https://movie.douban.com/subject/3072124/
西西里的美丽传说	8.7	320413人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792400696.jpg	https://movie.douban.com/subject/1292402/
素媛	9.1	158263人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2118532944.jpg	https://movie.douban.com/subject/21937452/
心灵捕手	8.7	251811人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480965695.jpg	https://movie.douban.com/subject/1292656/
幽灵公主	8.8	220156人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1613191025.jpg	https://movie.douban.com/subject/1297359/
第六感	8.8	218658人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2220184425.jpg	https://movie.douban.com/subject/1297630/
阳光灿烂的日子	8.7	253268人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p967457079.jpg	https://movie.douban.com/subject/1291875/
让子弹飞	8.7	589806人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1512562287.jpg	https://movie.douban.com/subject/3742360/
春光乍泄	8.8	225257人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p465939041.jpg	https://movie.douban.com/subject/1292679/
大鱼	8.7	235665人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p692813374.jpg	https://movie.douban.com/subject/1291545/
大闹天宫	9.2	89831人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2184505167.jpg	https://movie.douban.com/subject/1418019/
射雕英雄传之东成西就	8.7	257952人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1993903133.jpg	https://movie.douban.com/subject/1316510/
重庆森林	8.6	303011人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792381411.jpg	https://movie.douban.com/subject/1291999/
阳光姐妹淘	8.8	250936人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1374786017.jpg	https://movie.douban.com/subject/4917726/
上帝之城	8.9	149456人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455677490.jpg	https://movie.douban.com/subject/1292208/
甜蜜蜜	8.7	218287人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2223011274.jpg	https://movie.douban.com/subject/1305164/
禁闭岛	8.6	332650人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1832875827.jpg	https://movie.douban.com/subject/2334904/
致命ID	8.6	294395人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p453720880.jpg	https://movie.douban.com/subject/1297192/
告白	8.6	317754人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p689520756.jpg	https://movie.douban.com/subject/4268598/
一一	8.9	143182人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2119675128.jpg	https://movie.douban.com/subject/1292434/
加勒比海盗	8.6	311320人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1596085504.jpg	https://movie.douban.com/subject/1298070/
爱在黎明破晓前	8.7	203140人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1486234122.jpg	https://movie.douban.com/subject/1296339/
狩猎	9.0	111622人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1546987967.jpg	https://movie.douban.com/subject/6985810/
布达佩斯大饭店	8.7	281780人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2178872593.jpg	https://movie.douban.com/subject/11525673/
阿凡达	8.6	498760人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p492458287.jpg	https://movie.douban.com/subject/1652587/
断背山	8.6	297817人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p513535588.jpg	https://movie.douban.com/subject/1418834/
风之谷	8.8	164366人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1917567652.jpg	https://movie.douban.com/subject/1291585/
萤火虫之墓	8.7	190876人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1157334208.jpg	https://movie.douban.com/subject/1293318/
